raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
5,63679,1431699411,intelcorei5-12400f,16,500,nvidiageforcertx3060,DDR4,6,2.5,12,700
4.5,47023,1308744083,intelcorei7-7700,32,1000,nvidiageforcertx2060super,DDR3,4,3.4,8,500
4.9,52831,1685907186,intelxeone5-2650v2,32,1024,nvidiageforcertx3060,DDR4,6,2.6,12,600
5,81468,1614658945,intelcorei5-12400f,32,1024,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.8,88925,1688550218,intelcorei7-7700,32,1024,nvidiageforcertx4060,DDR3,8,3.4,8,700
4.9,83457,1666730640,amdryzen75800x,16,500,nvidiageforcertx3050,DDR4,8,3.8,8,600
4.8,22313,1404643184,intelcorei5-6500,16,480,intelhdgraphics,DDR4,4,3.2,1,600
4.9,84028,1653713207,amdryzen55600x,16,1000,nvidiageforcertx4060,DDR4,6,3.7,8,550
5,49363,1404638078,intelcorei5-3470,16,480,nvidiageforcegtx1660super,DDR3,4,3.2,6,600
4.9,39658,1404638094,amdryzen54600g,32,960,amdradeonvega7,DDR4,6,3.7,2,600
4.9,58044,1421954287,intelcorei5-10400f,16,480,nvidiageforcegtx1660super,DDR4,6,2.9,6,600
5,104893,1638866527,intelcorei5-12400f,32,500,nvidiageforcertx4070,DDR4,6,2.5,12,800
5,80542,1668061230,amdryzen55600x,32,1000,nvidiageforcertx3060,DDR4,6,3700,12,600
5,20601,1678751439,intelcorei5-3470,8,128,amdradeonrx580,DDR3,4,3.2,8,450
4.9,15909,1685907232,intelcorei7-2600,16,1024,intelhdgraphics2000,DDR3,4,3.8,2,400
4.7,78688,1277303245,intelxeone5-2670v3,64,1000,nvidiageforcertx3060,DDR4,12,3.6,12,800
4.5,70838,1637607735,intelcorei5-10400f,16,512,nvidiageforcertx2060super,DDR4,6,2900,8,500
4.5,11081,1609958701,intelcorei5-2300,8,240,intelhdgraphics2000,DDR3,4,3100,1,400
4.5,127501,1653711540,amdryzen57500f,32,1000,amdradeonrx7800xt,DDR5,6,3.7,16,700
5,47045,1523069088,intelcorei7-3770,16,480,nvidiageforcegtx1660super,DDR3,4,3.4,6,600
4.5,70150,1637607810,intelcorei5-10400f,16,1024,nvidiageforcertx3050,DDR4,6,2900,8,500
5,99346,1623118023,intelcorei9-11900,32,1512,nvidiageforcertx3060,DDR4,8,2.5,12,700
4.9,70281,1099560880,intelcorei5-12400,32,512,nvidiageforcertx2060super,DDR4,6,2.5,8,600
5,104124,800015390,intelcorei7-12700f,32,1000,nvidiageforcertx3060,DDR4,12,3600,12,600
5,57994,1659688508,amdryzen57600,8,128,amdradeonrx580,DDR5,6,4,8,500
4.7,80956,1665714753,amdryzen77700,8,1024,nvidiageforcertx2070super,DDR5,8,4,8,600
4.9,88005,1652470866,amdryzen55600x,32,1000,nvidiageforcertx4060,DDR4,6,3.7,8,550
5,141393,1653588696,intelcorei5-14600kf,32,2000,nvidiageforcertx4060ti,DDR5,14,3.5,16,550
4.7,25645,1162915137,intelcorei7-3770,16,1000,amdradeonrx580,DDR3,6,2.2,8,500
4.9,115278,1666730717,intelcorei7-11700,16,500,amdradeonrx6700xt,DDR4,8,2.5,12,750
4.5,11532,1579950550,amdproa8-8650b,16,480,amdradeonr7,DDR3,4,3.2,8,240
5,74393,1574391003,intelcorei7-5820k,32,1000,nvidiageforcertx3060,DDR4,6,3.60,12,700
4.9,9941,1685907157,intelcorei3-3220,8,256,intelhdgraphics2000,DDR3,2,3.3,2,400
4.9,64462,1654695334,amdryzen53600,32,1024,nvidiageforcertx2060super,DDR4,6,3.6,8,600
4.9,74137,1666728947,amdryzen55600,16,1000,nvidiageforcertx3050,DDR4,6,3.5,8,600
5,66235,1431698989,intelcorei5-12400f,16,1000,nvidiageforcertx3060,DDR4,6,2.5,12,700
4.7,34182,1584180722,intelcorei7-2600,8,512,amdradeonrx580,DDR3,4,3.4,8,600
